"year","id_","AGE","EDUC","SEX","RACETH","RELIG","sex1","race1","relig1","educ1","age1","sex2","race2","relig2","educ2","age2","sex3","race3","relig3","educ3","age3","sex4","race4","relig4","educ4","age4","sex5","race5","relig5","educ5","age5"
"1985","1985.1","33","16 or more","Male","White","Jewish","Male","White","Jewish","16 or more","32","Female","White","Protestant","16 or more","29","Male","White","Jewish","16 or more","32","Male","White","Jewish","16 or more","35","Female","White","Catholic","13-15 years","29"
"1985","1985.2","49","16 or more","Male","White","Catholic","Female","White","Catholic","12 years","42","Male","White","Jewish","16 or more","44","Male","White","Jewish","16 or more","45","Female","White","Catholic","12 years","40","Male","White","Jewish","16 or more","50"
"1985","1985.3","23","16 or more","Female","White","Jewish","Female","White","Jewish","16 or more","25","Female","White","Jewish","12 years","24","Female","White","Jewish","16 or more","46","Female","White","Jewish","16 or more","21","Female","White","Jewish","16 or more","35"
"1985","1985.4","26","16 or more","Female","White","Jewish","Female","White","None","16 or more","26","Male","White","Protestant","16 or more","27","Male","White","None","16 or more","28","Male","White","None","16 or more","27","Female","White","Jewish","16 or more","25"
"1985","1985.5","24","16 or more","Female","White","Catholic","Female","White","Catholic","12 years","44","Female","White","Catholic","13-15 years","25","Male","White","Catholic","13-15 years","20","Male","White","Catholic","13-15 years","19","Male","White","Catholic","Less than 10","12"
"1985","1985.6","45","16 or more","Male","White","None","Male","White","Protestant","16 or more","40","Male","White","None","16 or more","35","Male","White","None","16 or more","44","Female","White","Protestant","16 or more","35",NA,NA,NA,NA,NA
"1985","1985.7","44","16 or more","Female","White","Jewish","Female","White","Jewish","16 or more","33","Female","White","Jewish","16 or more","43","Female","White","None","13-15 years","41","Female","White",NA,"16 or more","40","Male","White","Jewish","13-15 years","37"
"1985","1985.8","56","12 years","Female","White","Catholic","Female","Hispanic",NA,"16 or more","40","Male","White",NA,NA,"50","Female","White",NA,"12 years","40","Male","Black",NA,"16 or more","50","Male","Other",NA,"16 or more","65"
"1985","1985.9","85","Less than 10","Female","White","Catholic","Female","White","Catholic","12 years","45","Male","White","Catholic","Less than 10","84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.10","65","12 years","Female","White","Catholic","Female","White","Catholic","12 years","65",NA,"White","Catholic","13-15 years","65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.11","32","16 or more","Male","Hispanic","Catholic","Male","Hispanic","Catholic","13-15 years","25","Male","Hispanic","Catholic","13-15 years","31","Female","Hispanic","Catholic","13-15 years","23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.12","71","10-11 years","Male","Black","Protestant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.13","79","Less than 10","Female","Black","Protestant","Female","Black","Protestant","12 years","57","Female","Black","Protestant","12 years","57","Male","Black","Protestant","12 years","73",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.14","73","Less than 10","Male","Black","Protestant","Female","Black","Protestant","Less than 10","63","Male","Black","Protestant",NA,"57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.15","77","Less than 10","Female","Black","Protestant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.16","30","13-15 years","Female","Hispanic","Catholic","Female","White","Catholic","12 years","45","Female","White","Jewish","16 or more","51","Female","White","Catholic","13-15 years","33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.17","69","12 years","Female","White","Jewish","Male","White","Jewish","12 years","69","Female","White","Catholic",NA,NA,"Male","White","Jewish","16 or more","34","Female","White","Jewish","16 or more","40","Female","White","Jewish","13-15 years","38"
"1985","1985.18","59","Less than 10","Male","Hispanic","Catholic","Female","Hispanic","Catholic","13-15 years","48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.19","67","Less than 10","Female","White","Jewish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.20","68","Less than 10","Male","White","Catholic","Female","White","Catholic","Less than 10","64","Male","White","Catholic","10-11 years","63","Female","White","Catholic","12 years","33","Female","White","Catholic","12 years","36",NA,NA,NA,NA,NA
"1985","1985.21","28","12 years","Female","White","Catholic","Female","White","Catholic","10-11 years","61","Female","White","Catholic","10-11 years","22","Female","White","Other","12 years","24","Male","White","Other","10-11 years","28","Female","White","Catholic","12 years","21"
"1985","1985.22","59","10-11 years","Female","White","Catholic","Male","White","Catholic","10-11 years","63","Male","White","Catholic","16 or more","33","Male","White","Catholic","12 years","31","Female","White","Catholic","16 or more","27",NA,NA,NA,NA,NA
"1985","1985.23","69","Less than 10","Female","White","Catholic","Male","White","Catholic","10-11 years","40","Female","White","Catholic","12 years","36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.24","27","13-15 years","Female","Hispanic","Catholic","Female","White","Catholic","12 years","56","Male","White","Catholic","16 or more","29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.25","81","12 years","Male","Black","Protestant","Female","Black","Protestant","12 years","69","Male","Black","Protestant","12 years","55","Male","Black","Protestant",NA,"60","Male","Black",NA,NA,"75",NA,NA,NA,NA,NA
"1985","1985.26","42","12 years","Male","Black","None","Female","Black","Protestant","16 or more","40","Female","Black","Protestant","13-15 years","38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.27","38","16 or more","Female","Black","Catholic","Female","White","Catholic","16 or more","35","Male","Black","Catholic","12 years","57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.28","54","12 years","Female","White","Jewish","Male","White","Jewish","16 or more","63","Male","White","Jewish","16 or more","28","Male","White","Jewish","Less than 10","75","Female","White","Jewish","13-15 years","43",NA,NA,NA,NA,NA
"1985","1985.29","18","10-11 years","Male","Black","Catholic","Male","White","Catholic","13-15 years","18","Male","White","Jewish","16 or more","30","Male","Other","Catholic","10-11 years","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.30","32","12 years","Male","Asian","Other","Female","Asian","Other","13-15 years","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.31","56","16 or more","Female","White","Jewish","Male","White","Jewish","16 or more","58","Female","White","Jewish","16 or more","45","Male","White","Jewish","16 or more","40","Male","White","Jewish","12 years","38","Female","White","Jewish","12 years","56"
"1985","1985.32","32","16 or more","Female","White","Jewish","Female","White","Jewish","16 or more","33","Male","White","Jewish","13-15 years","28","Male","White","Jewish","13-15 years","25","Female","White","Jewish","12 years","54","Female","White","Jewish","16 or more","32"
"1985","1985.33","30","13-15 years","Female","Asian","None","Female","Asian","None","13-15 years","35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.34","27","16 or more","Male","White","Catholic","Male","White","Catholic","16 or more","38","Female","White","Catholic","16 or more","23","Male","White","Catholic","16 or more","26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.35","24","10-11 years","Female","Black","Protestant","Female","Hispanic","Protestant","Less than 10","32","Female","Hispanic","Catholic","12 years","31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.36","84","Less than 10","Male","White","Jewish","Male","White","Jewish","12 years","56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.37","54","Less than 10","Female","Hispanic","Catholic","Male","Hispanic","Catholic","12 years","39","Male","Hispanic","Catholic","12 years","54","Female","Hispanic","Catholic","10-11 years","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.38","41","Less than 10","Female","Black","Protestant","Female","Black","Catholic","12 years","43","Female","Black","Protestant","Less than 10","59","Female","Black","Protestant","Less than 10","60","Female","Black","Protestant","10-11 years","62",NA,NA,NA,NA,NA
"1985","1985.39",NA,"13-15 years","Female","Black","Protestant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.40","31","10-11 years","Female","White","Protestant","Male","White","Protestant","13-15 years","31","Male","White","Catholic","13-15 years","38","Female","White","Catholic","10-11 years","34","Female","White","Catholic","12 years","61","Male","White","Catholic",NA,"78"
"1985","1985.41","32","10-11 years","Female","White","Protestant","Male","White","Protestant","13-15 years","37","Female","White","Other","10-11 years","33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.42","56","12 years","Male","Black","Protestant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.43","58","12 years","Male","Black","Protestant","Female","Black","Protestant",NA,"40","Male","Black","Other","10-11 years","28","Male","Black","Other","12 years","21","Male","Black","Catholic","10-11 years","32","Female","Black","Other",NA,"68"
"1985","1985.44","40","13-15 years","Female","White","Catholic","Male","Black",NA,"12 years","54","Female","Hispanic","None","13-15 years","40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.45","68","16 or more","Male","White","Jewish","Male","White","Catholic","16 or more","29","Male","White","Jewish","16 or more","35","Female","White","Jewish","16 or more","59","Male","White","Jewish","16 or more","31","Male","White","Other","16 or more","60"
"1985","1985.46","26","12 years","Male","White","Catholic","Male","White","Catholic","Less than 10","54","Male","White","Catholic","13-15 years","25","Male","White","Catholic","12 years","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.47","59","12 years","Female","White","Jewish","Male","White","Jewish","16 or more","39","Female","White","Jewish","16 or more","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.48","33","13-15 years","Female","White","Protestant","Male","White","Protestant","16 or more","38","Female","White","Protestant","16 or more","36","Female","White","Catholic","16 or more","34","Female","White","Catholic","16 or more","37","Male","White","Catholic","13-15 years","36"
"1985","1985.49","27","13-15 years","Female","White","Catholic","Female","White","Catholic","12 years","24","Female","White","Catholic","13-15 years","26","Female","White","Catholic","16 or more","24","Female","White","Catholic","16 or more","23","Female","White","Catholic","13-15 years","31"
"1985","1985.50","23","12 years","Male","White","Catholic","Female","White","Catholic","12 years","55","Male","White","Catholic","12 years","50","Female","White","Catholic","12 years","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.51","49","12 years","Male","White","Catholic","Male","White","Catholic","12 years","32","Male","Black","Other","12 years","54","Male","Hispanic",NA,"12 years","25","Male","White",NA,"12 years","42","Male","White","Protestant","12 years","49"
"1985","1985.52","38","13-15 years","Female","Asian","Other","Female","Asian","Other","16 or more","29","Female","Asian","Other","16 or more","35","Female","Asian","Other","16 or more","35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.53","24","13-15 years","Female","White","Protestant","Male","White","Catholic","10-11 years","31","Female","White","Catholic","13-15 years","25","Male","White","Other","16 or more","27","Male","White","Catholic","16 or more","30","Female","White","Protestant","16 or more","56"
"1985","1985.54","32","12 years","Female","White","Catholic","Female","White","Jewish","13-15 years","28","Female","White","Jewish","16 or more","29","Female","White","Protestant","12 years","31","Female","White","Catholic","16 or more","31","Female","White","Catholic","12 years","30"
"1985","1985.55","33","13-15 years","Female","White","Catholic","Male","White","Catholic","Less than 10","40","Female","White","Catholic","12 years","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.56","40","12 years","Female","White","Catholic","Male","White","Catholic","12 years","41","Female","White","Catholic","12 years","42","Female","White","Catholic","12 years","34","Female","White","Catholic","12 years","68",NA,NA,NA,NA,NA
"1985","1985.57","24","13-15 years","Male","White","Protestant","Female","Asian","Other","13-15 years","19","Female","Asian","Protestant","Less than 10","70","Male","Asian","Protestant","13-15 years","72",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.58","29","13-15 years","Male","White","Catholic","Female","White","Catholic","13-15 years","39","Male","White","Catholic","13-15 years","55","Female","White",NA,"16 or more","36","Female","White","Catholic","13-15 years","55","Male","White","Catholic","13-15 years","25"
"1985","1985.59","28","13-15 years","Female","White","Other","Female","White","Other","13-15 years","50","Male","White","None","16 or more","54","Male","White","Other","16 or more","48","Female","White","Other","13-15 years","28","Female","White","Other","16 or more","45"
"1985","1985.60","39","16 or more","Female","White","Other","Female","White","Protestant","16 or more","79","Female","White","None","13-15 years","46","Female","White","Protestant","16 or more","38","Male","White","Protestant","16 or more","38","Female","White","Protestant","13-15 years","29"
"1985","1985.61","41","13-15 years","Male","White","None","Male","White","Protestant","12 years","40","Male","White","Jewish","16 or more","35","Female","White","Catholic","12 years","30","Female","White","Protestant","16 or more","35","Male","White","Jewish","16 or more","40"
"1985","1985.62","32","16 or more","Male","White","Protestant","Female","White","Other","16 or more","25","Female","White","None","13-15 years","27","Male","Black","Protestant","16 or more","25","Male","White","None","16 or more","32",NA,NA,NA,NA,NA
"1985","1985.63","31","12 years","Male","White","Protestant","Female","White","Catholic","13-15 years","37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.64","28","16 or more","Female","White","None","Male","White","None","16 or more","29","Male","White","None","13-15 years","34","Male","White","None","16 or more","34","Female","Hispanic","Other","13-15 years","33","Male","White","None","16 or more","29"
"1985","1985.65","69","10-11 years","Female","White","Protestant","Male","White","Jewish","16 or more","60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.66","37","16 or more","Male","Asian","Other","Male","Black",NA,"12 years","26","Male","Asian","Other","12 years","37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.67","26","16 or more","Male","White","None","Female","White","Protestant","16 or more","51","Male","White","Protestant","16 or more","41","Male","White","Protestant","16 or more","27","Male","White","Protestant","16 or more","24","Female","White","Protestant","16 or more","28"
"1985","1985.68","30","13-15 years","Female","Black","None","Female","Black","Protestant","13-15 years","29","Male","Black","None","13-15 years","39","Female","Black","Protestant","12 years","33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.69","22","16 or more","Female","White","Protestant","Male","White","Catholic","16 or more","59","Female","White","Jewish","16 or more","44","Male","White",NA,"16 or more","48","Female","White","Protestant","16 or more","30","Male","White","Other","13-15 years","40"
"1985","1985.70","36","13-15 years","Male","White","Other","Male","White","Other",NA,"27","Male","White","Protestant","16 or more","50","Male","White","Other","10-11 years","55","Male","White","Catholic","13-15 years","28","Female","White","Other","13-15 years","22"
"1985","1985.71","32","16 or more","Female","Asian","None","Male","Asian","None","16 or more","34","Female","Asian","None","16 or more","27","Female","Asian","Catholic","16 or more","29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.72","38","13-15 years","Female","White","None","Female","White","None","12 years","58","Male","White","None","12 years","36","Male","White","Other","12 years","35","Female","White","None","Less than 10","10","Female","White","None","13-15 years","60"
"1985","1985.73","40","13-15 years","Female","White","Protestant","Female","Asian","Jewish","12 years","42","Female","White","Protestant","16 or more","38","Female","Asian","Protestant","16 or more","35","Female","White","Protestant","12 years","42","Male","White","Protestant",NA,"65"
"1985","1985.74","78","Less than 10","Female","White","Protestant","Female","White","Protestant","12 years","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.75","42","16 or more","Female","White","None","Female","White","None","16 or more","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.76","79","12 years","Female","White","Jewish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.77","36","16 or more","Female","White","Catholic","Female","White","Catholic","16 or more","38","Female","White","Catholic","13-15 years","36","Male","White","Catholic","12 years","29","Female","Hispanic","Catholic","12 years","38","Female","White","Catholic","Less than 10","71"
"1985","1985.78","37","16 or more","Female","White","Protestant","Male","White","Protestant","13-15 years","39","Female","White","Protestant","16 or more","65","Female","White","Protestant","16 or more","36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.79","38","12 years","Female","White","Protestant","Male","White","Protestant","16 or more","38","Male","White",NA,"16 or more","45","Female","White","Protestant","12 years","42","Male","White","Protestant","Less than 10","9",NA,NA,NA,NA,NA
"1985","1985.80","27","12 years","Female","White","Protestant","Male","White","Jewish","16 or more","60","Male","Hispanic","Protestant","13-15 years","23","Female","White","Catholic","12 years","55","Female","White","Catholic","13-15 years","55","Female","White","Protestant","13-15 years","29"
"1985","1985.81","39","13-15 years","Female","White","Protestant","Female","White","Catholic","13-15 years","43","Male","White","Protestant","13-15 years","32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.82","40","13-15 years","Female","White","Catholic","Male","White","Protestant","16 or more","40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.83","63","13-15 years","Female","White","Protestant","Male","White","Catholic","12 years","75","Female","White","Protestant","16 or more","34","Female","White","Protestant","16 or more","37","Female","White","Protestant","16 or more","37",NA,NA,NA,NA,NA
"1985","1985.84","43","16 or more","Male","White","Protestant","Female","White","Protestant","16 or more","43","Female","White","Protestant","13-15 years","44","Male","White","Protestant","16 or more","36","Male","White","Protestant","16 or more","45","Female","White","Protestant","12 years","70"
"1985","1985.85","49","16 or more","Female","White","Catholic","Female","White","Catholic","13-15 years","47","Female","White","Protestant","13-15 years","40","Male","White","Catholic","16 or more","40","Male","White","Protestant","16 or more","55","Male","White","Catholic","16 or more","35"
"1985","1985.86","87","12 years","Female","White","Protestant","Female","White","Protestant","13-15 years","60","Male","White","Protestant","16 or more","62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.87","59","16 or more","Female","White","Protestant","Female","White","Protestant","13-15 years","56","Male","White","Protestant","16 or more","56","Female","White","Catholic","13-15 years","45","Female","White","Protestant","16 or more","58","Male","White","Protestant","16 or more","58"
"1985","1985.88","39","16 or more","Female","White","Catholic","Male","White","Protestant","16 or more","41","Female","White","Catholic","16 or more","28","Female","White","Catholic","Less than 10","15","Female","White","Catholic","Less than 10","13","Male","White","Catholic","Less than 10","9"
"1985","1985.89","56","16 or more","Female","Asian","None","Female","White","Catholic","16 or more","55","Male","White","Catholic","16 or more","57","Male","Black","None","16 or more","40","Female","White","None","16 or more","62","Female","Black","None","16 or more","35"
"1985","1985.90","75","10-11 years","Male","White","Protestant","Female","White","Protestant","10-11 years","78",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.91","79","12 years","Male","White","Protestant","Male","White","Protestant","13-15 years","77","Male","White","Protestant","16 or more","65","Male","White","Protestant","12 years","58","Female","White","Protestant","12 years","54",NA,NA,NA,NA,NA
"1985","1985.92","46","13-15 years","Female","Black","Protestant","Female","Black","Protestant","10-11 years","44","Female","Black","Protestant","12 years","44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.93","44","13-15 years","Male","Black","Protestant","Female","Black","Protestant","13-15 years","38","Male","Black","Protestant","13-15 years","33","Male","Black","Protestant","16 or more","43","Male","Black","Protestant","13-15 years","49",NA,NA,NA,NA,NA
"1985","1985.94","49","12 years","Female","White","Protestant","Female","White","Protestant","13-15 years","29","Female","White","Protestant","Less than 10","72",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.95","32","13-15 years","Female","Black","Protestant","Female","Black","Protestant","10-11 years","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.96","38","12 years","Female","Hispanic","Catholic","Female","Hispanic","Catholic","Less than 10","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.97","53","16 or more","Male","White","Other","Male","Other","Other","16 or more","58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.98","82","13-15 years","Female","Hispanic","Catholic","Female","Hispanic","Catholic","13-15 years","46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.99","22","12 years","Male","White","Protestant","Male","White","Protestant","13-15 years","31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.100","89","12 years","Female","White","Protestant","Female","White","Catholic","16 or more","40","Female","White","Catholic","16 or more","65","Male","White","Catholic","16 or more","39","Male","White","Protestant","10-11 years","87","Male","White","Protestant","16 or more","81"
"1985","1985.101","52","13-15 years","Female","White","Protestant","Male","White","Jewish","16 or more","53","Male","White","Protestant","16 or more","25","Male","White","Protestant","16 or more","53","Male","White","Protestant","16 or more","35","Male","White","Protestant","16 or more","60"
"1985","1985.102","83","13-15 years","Male","White","Protestant","Female","White","Protestant",NA,"79","Male","White","Protestant","16 or more","44","Female","White",NA,"16 or more","46","Male","White","Jewish","16 or more","67",NA,NA,NA,NA,NA
"1985","1985.103","58","12 years","Female","White","Catholic","Male","White","Catholic","16 or more","59","Female","White",NA,NA,"63","Male","White",NA,NA,"66","Female","White",NA,NA,"66",NA,NA,NA,NA,NA
"1985","1985.104","28","13-15 years","Female","White","Catholic","Female","White","Catholic","12 years","60","Male","White","Catholic","12 years","62","Male","White","Protestant","13-15 years","32","Male","White","Catholic","12 years","31",NA,NA,NA,NA,NA
"1985","1985.105","58","16 or more","Male","White","None","Female","White","Catholic","13-15 years","54","Male","White","Catholic","13-15 years","31","Male","White","Catholic","13-15 years","30","Male","White","Catholic","12 years","27","Female","White","Catholic","13-15 years","25"
"1985","1985.106","52","13-15 years","Female","White","Protestant","Female","White","Protestant","10-11 years","41","Female","White","Protestant","12 years","40","Female","White","Protestant","16 or more","46","Female","White","Catholic","16 or more","36","Male","White","Catholic","13-15 years","55"
"1985","1985.107","43","12 years","Male","White","Catholic","Female","White","Catholic","13-15 years","39","Female","White","None","12 years","46","Male","White","None","10-11 years","45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.108","65","16 or more","Male","White","Protestant","Male","White","Catholic","12 years","40","Male","White","Catholic","12 years","65","Female","Black","Catholic","16 or more","30","Female","Hispanic",NA,"12 years","28",NA,NA,NA,NA,NA
"1985","1985.109","51","16 or more","Female","White","Jewish","Male","Black",NA,"16 or more","26","Male","White",NA,"13-15 years","21","Female","White","Jewish","16 or more","60","Female","White","Catholic","16 or more","50","Female","White",NA,"16 or more","24"
"1985","1985.110","64","Less than 10","Male","White","Protestant","Female","White","Protestant","Less than 10","63","Female","White","Protestant","16 or more","22","Female","White","Protestant","16 or more","35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.111","41","10-11 years","Female","White","Protestant","Female","White","Protestant","12 years","51","Male","White","Protestant","13-15 years","49","Male","White","None","12 years","47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.112","50","16 or more","Male","Asian","Catholic","Male","Asian","Protestant","16 or more","50","Female","Asian","Protestant","16 or more","40","Female","Asian","Catholic","16 or more","42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.113","29","16 or more","Male","Black","Catholic","Male","Black","None","13-15 years","27","Male","Black","Catholic","16 or more","29","Male","Black",NA,"16 or more","38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.114","46","12 years","Female","Hispanic","Catholic","Female","White","Protestant","16 or more","40","Female","White","Catholic","12 years","56","Female","White","Protestant","12 years","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.115","51","10-11 years","Male","Hispanic","Catholic","Male","White","Catholic","12 years","53","Female","Black",NA,"12 years","42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.116","52","16 or more","Female","White","None","Female","White","Protestant","16 or more",NA,"Female","White","Protestant","16 or more",NA,"Female","White","Protestant","16 or more",NA,"Female","White","Protestant","16 or more",NA,"Female","White","Protestant","16 or more",NA
"1985","1985.117","58","10-11 years","Male","Hispanic","Catholic","Female","White","Protestant","Less than 10","40","Female","White","Catholic",NA,"35","Male","White","Catholic",NA,"38","Male","White","Catholic",NA,"45",NA,NA,NA,NA,NA
"1985","1985.118","67","10-11 years","Female","White","Catholic","Female","White","Catholic","12 years","33","Male","White","Catholic","Less than 10","35","Male","White","Catholic","10-11 years","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.119","27","10-11 years","Male","Hispanic","Catholic","Male","Hispanic","Catholic","12 years","26","Female","Hispanic","Catholic","Less than 10","24","Male","Hispanic","Catholic",NA,"64","Female","Hispanic","Catholic","Less than 10","58",NA,NA,NA,NA,NA
"1985","1985.120","69","12 years","Male","Black","Protestant","Male","White",NA,NA,"55","Male","White",NA,NA,"80","Female","Hispanic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.121","24","10-11 years","Female","Black","Protestant","Female","Black","Protestant","12 years","40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.122","39","12 years","Male","Black","Protestant","Female","Black","Protestant","12 years","34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.123","19","10-11 years","Male","Black","Protestant","Male","Black","Protestant","13-15 years","40","Male","Black","Protestant","13-15 years","30","Female","Black","Protestant","13-15 years","35","Female","Black","Protestant","16 or more","30","Female","Black","Protestant","13-15 years","23"
"1985","1985.124","34","16 or more","Female","White","Jewish","Female","White","Jewish","16 or more","34","Female","Black","Protestant","16 or more","40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.125","76","12 years","Female","White","Protestant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.126","55","16 or more","Male","White","Protestant","Male","White","Protestant","16 or more","59","Male","White","Protestant","16 or more","48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.127","19","10-11 years","Male","White","Protestant","Female","White","Protestant","16 or more","48","Male","White","Protestant","16 or more","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
