"year","id_","AGE","EDUC","SEX","RACETH","RELIG","sex1","race1","relig1","educ1","age1","sex2","race2","relig2","educ2","age2","sex3","race3","relig3","educ3","age3","sex4","race4","relig4","educ4","age4","sex5","race5","relig5","educ5","age5"
"1985","1985.539","45","16 or more","Female","White","Protestant","Male","White","Protestant","12 years","63","Female","White","Protestant","12 years","61","Female","White","Protestant","16 or more","85","Female","White","Protestant","16 or more","36","Female","White","Catholic","16 or more","48"
"1985","1985.540","35","16 or more","Male","White","Protestant","Female","White","Protestant","16 or more","34","Male","White","Protestant","13-15 years","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.541","21","12 years","Female","White","Catholic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.542","23","12 years","Female","White","Protestant","Male","White","Protestant","16 or more","25","Female","White","Protestant","12 years","53","Female","White","Catholic","12 years","40","Female","White","Catholic","12 years","28","Female","White","Protestant","12 years","21"
"1985","1985.543","55","12 years","Male","White","Protestant","Female","White","Protestant","12 years","45","Male","White","Protestant","Less than 10","68","Male","White","Catholic","16 or more","48","Male","White","Protestant","16 or more","50","Male","White","Protestant","12 years","56"
"1985","1985.544","35","16 or more","Male","White","None","Female","White","Protestant","13-15 years","33","Male","White","Catholic","16 or more","47","Male","White","Jewish","13-15 years","34","Male","White","Protestant","16 or more","32","Female","Black","Protestant","16 or more","34"
"1985","1985.545","46","16 or more","Male","White","Catholic","Male","White","Catholic","16 or more","44","Male","White","Catholic","13-15 years","22","Female","White","Catholic","16 or more","31","Female","White","Catholic","12 years","70","Female","White","Catholic","16 or more","39"
"1985","1985.546","30","13-15 years","Male","Black","Protestant","Female","Black","Protestant","10-11 years",NA,"Male","Black","Protestant","12 years","22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.547","48","13-15 years","Male","Black","Protestant","Female","Black","Protestant","13-15 years","44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.548","30","16 or more","Male","Black","Protestant","Male","Black","Protestant","13-15 years",NA,"Female","Black","Protestant","16 or more",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.549","34","16 or more","Male","Black","Protestant","Female","Black","Protestant","12 years","42","Female","Black","Protestant","12 years","57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.550","28","12 years","Male","White","None","Male",NA,"None","10-11 years","40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.551","29","12 years","Female","White","None","Male","White","None","12 years","36","Female","White","Protestant","12 years","31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.552","34","13-15 years","Male","White","Other","Male","White","Other","12 years","33","Male","White","Other","16 or more","30","Male","White","Other","12 years","33","Male","White","Protestant","13-15 years","27","Male","White","Other","12 years","30"
"1985","1985.553","41","12 years","Male","White","Protestant","Female","White","Protestant","13-15 years","36","Female","White","Protestant","Less than 10","15","Female","White","Protestant","Less than 10","11","Male","White","Protestant","13-15 years","33","Female","White","Protestant","16 or more","75"
"1985","1985.554","20","13-15 years","Female","White","Protestant","Female","White","Protestant","13-15 years","44","Female","White","Protestant","13-15 years","19","Female","White","Protestant","12 years","20","Male","Black","Protestant","13-15 years","21",NA,NA,NA,NA,NA
"1985","1985.555","44","13-15 years","Female","Black","Protestant","Female","White","Protestant","16 or more","40","Female","White","Protestant","16 or more","40","Male","White","Protestant","16 or more","43","Female","White","Protestant","13-15 years","43","Male","White","Protestant","16 or more","40"
"1985","1985.556","80","Less than 10","Male","White","Protestant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.557","47","13-15 years","Female","White","Protestant","Female","White","Catholic","16 or more","30","Male","White","Protestant","16 or more","35","Male","White","Catholic","12 years","41","Male","White","Protestant","12 years","49","Male","White","Protestant","13-15 years","27"
"1985","1985.558","19","13-15 years","Male","White","Protestant","Male","White","Protestant",NA,"20","Male","White","Protestant","13-15 years","41","Female","White","Protestant","13-15 years","41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.559","31","16 or more","Male","White","Protestant","Female","White","Protestant","12 years","75","Male","White",NA,"13-15 years","31","Female","White","Catholic","12 years","38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.560","77","16 or more","Male","White","Protestant","Male","White","Protestant","16 or more",NA,"Male","White","Protestant","16 or more",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.561","51","12 years","Male","White","Protestant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.562","32","12 years","Female","Other","Protestant","Female","Asian","Protestant","13-15 years","32","Female","Asian","Protestant","13-15 years","60","Male","Asian","Other","16 or more","35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.563",NA,"10-11 years","Male","White","Protestant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.564","49","12 years","Female","White","Protestant","Female","White","Protestant","Less than 10","72","Male","White","Protestant","10-11 years","35","Female","White","Protestant","12 years","36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.565","61","12 years","Male","White","Protestant","Female","White","Protestant","13-15 years","61","Female","White","Protestant","12 years","56","Male","White","Protestant","12 years","30","Female","White","Protestant","12 years","26","Male","White","Protestant","13-15 years","32"
"1985","1985.566","70","12 years","Female","White","Catholic","Male","White","Catholic","12 years","71","Male","White","Catholic","16 or more","37","Female","White","Catholic","13-15 years","41","Female","White","Catholic","13-15 years","45","Female","White","Catholic","13-15 years","34"
"1985","1985.567","39","16 or more","Female","White","Other","Male","White","Catholic","13-15 years","43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.568","39","13-15 years","Female","White","Protestant","Male","White","Catholic","12 years","41","Female","White","Catholic","10-11 years","59","Male","White","Protestant","10-11 years","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.569","83","13-15 years","Female","White","Protestant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.570","62","12 years","Male","White","Protestant","Male","White","Protestant","12 years","57","Female","White","Protestant","12 years","63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.571","38","16 or more","Male","White","Protestant","Male","White","Protestant","12 years","25","Male","White","Protestant","12 years","62","Female","White","Protestant","12 years","65","Male","White","Protestant","16 or more","45","Female","White","Protestant","10-11 years","40"
"1985","1985.572","34","12 years","Female","White","Protestant","Female","White","Protestant","12 years","29","Female","White","Protestant","12 years","34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.573","50","12 years","Male","White","Protestant","Male","White","Protestant","12 years","60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
